Date and Time (UTC),Receiver,Description,Data
2019-05-31 9:13,VR2AR-547109,Temperature,4.3
2019-05-31 9:18,VR2AR-547109,Temperature,4.3
2019-05-31 9:23,VR2AR-547109,Temperature,4.3
2019-05-31 9:28,VR2AR-547109,Temperature,4.4
2019-05-31 9:33,VR2AR-547109,Temperature,4.4
2019-05-31 9:38,VR2AR-547109,Temperature,4.4
2019-05-31 9:43,VR2AR-547109,Temperature,4.4
2019-05-31 9:48,VR2AR-547109,Temperature,4.4
2019-05-31 9:53,VR2AR-547109,Temperature,4.4
2019-05-31 9:58,VR2AR-547109,Temperature,4.4
2019-05-31 10:02,VR2AR-547109,Temperature,4.5
2019-05-31 10:07,VR2AR-547109,Temperature,4.4
2019-05-31 10:12,VR2AR-547109,Temperature,4.5
2019-05-31 10:17,VR2AR-547109,Temperature,4.5
2019-05-31 10:22,VR2AR-547109,Temperature,4.4
2019-05-31 10:27,VR2AR-547109,Temperature,4.4
2019-05-31 10:32,VR2AR-547109,Temperature,4.5
2019-05-31 10:37,VR2AR-547109,Temperature,4.5
2019-05-31 10:42,VR2AR-547109,Temperature,4.6
2019-05-31 10:47,VR2AR-547109,Temperature,4.6
2019-05-31 10:52,VR2AR-547109,Temperature,4.6
2019-05-31 10:57,VR2AR-547109,Temperature,4.6
2019-05-31 11:01,VR2AR-547109,Temperature,4.6
2019-05-31 11:06,VR2AR-547109,Temperature,4.6
2019-05-31 11:11,VR2AR-547109,Temperature,4.6
2019-05-31 11:16,VR2AR-547109,Temperature,4.6
2019-05-31 11:21,VR2AR-547109,Temperature,4.6
2019-05-31 11:26,VR2AR-547109,Temperature,4.7
2019-05-31 11:31,VR2AR-547109,Temperature,4.7
2019-05-31 11:36,VR2AR-547109,Temperature,4.7
2019-05-31 11:41,VR2AR-547109,Temperature,4.7
2019-05-31 11:46,VR2AR-547109,Temperature,4.6
2019-05-31 11:51,VR2AR-547109,Temperature,4.6
2019-05-31 11:56,VR2AR-547109,Temperature,4.6
2019-05-31 12:05,VR2AR-547109,Temperature,4.6
2019-05-31 12:10,VR2AR-547109,Temperature,4.6
2019-05-31 12:15,VR2AR-547109,Temperature,4.6
2019-05-31 12:20,VR2AR-547109,Temperature,4.7
2019-05-31 12:25,VR2AR-547109,Temperature,4.6
2019-05-31 12:30,VR2AR-547109,Temperature,4.7
2019-05-31 12:35,VR2AR-547109,Temperature,4.6
2019-05-31 12:40,VR2AR-547109,Temperature,4.6
